subbasin,data_type,data_collection_type,species,location,description,timeframe,source,where_learned_about,references,notes,machine_readable,pdf_title,subject,author,,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,hayfork creek,2000 Hayfork Creek Summer Snorkel Surveys,2000,CDFW,,,,,,Hayfork Creek Summer Snorkel Surveys,"Wiseman, E.",,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,south fork,South Fork Trinity River Main stem Summer Snorkel Surveys 2000,2000,CDFW,,,,,,South Fork Trinity River Main Stem Summer Snorkel Surveys,"Wiseman, E.",,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,,Annual Report Trinity River Basin Salmon and Steelhead Monitoring Project 2000-2001 Season,2001,CDFW,,,Salmon monitoring,,,Annual Report Trinity River Basin Salmon and Steelhead Monitoring Project,"Sinnen, W., C. Reese, B. Null, P. Garrison and S. Borok",,,,,,,,,,,
trinity,escapement,"tag, CWT","coho, chinook, steelhead",,TRINITY RIVER BASIN SALMON AND STEELHEAD MONITORING PROJECT: CHINOOK AND COHO SALMON AND FALL-RUN STEELHEAD RUN-SIZE ESTIMATES USING MARK-RECAPTURE METHODS 2000-2001 SEASON,2001,CDFW,,https://nrmsecure.dfg.ca.gov/FileHandler.ashx?DocumentID=84330,CDFW document library,,,,,,,,,,,,,,,
trinity,escapement,Snorkle,Steelhead,south fork,2001-2002 Annual Report Summer Steelhead Snorkel Survey of South Fork Trinity River Project Ic1,2002,CDFW,,,,,,Annual Report Summer Steelhead Snorkel Survey of South Fork Trinity River Project,"Garrison, P.",,,,,,,,,,,
trinity,escapement,Spawner,Steelhead,tributaries,2001-2002 Annual Report Trinity River Tributaries Winter-Run Steelhead Spawning Survey Report Project 1d1,2002,CDFW,,,Annual Report,,,Annual Report Trinity River Tributaries Winter-Run Steelhead Spawning Survey Report,"Garrison, P.",,,,,,,,,,,
trinity,escapement,"tag, CWT","coho, chinook, steelhead",,TRINITY RIVER BASIN SALMON AND STEELHEAD MONITORING PROJECT: CHINOOK AND COHO SALMON AND FALL-RUN STEELHEAD RUN-SIZE ESTIMATES USING MARK-RECAPTURE METHODS 2001-2002 SEASON,2002,CDFW,,https://nrmsecure.dfg.ca.gov/FileHandler.ashx?DocumentID=84317,CDFW document library,,,,,,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,south fork,2003 South Fork Trinity River Spring Chinook/Summer Steelhead Snorkel Survey Totals,2003,CDFW,,,,,,South Fork Trinity River Spring Chinook Summer Steelhead Snorkel Survey,"Garrison, P.",,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,south fork,South Fork Trinity River Main Stem Summer Snorkel Surveys 2003,2003,CDFW,,,,,,South Fork Trinity River Main Stem Summer Snorkel Surveys,"Wiseman, E.",,,,,,,,,,,
klamath,escapement,hatchery,,iron gate hatchery,Iron Gate Hatchery - 2015 annual report,2015,CDFW,,https://nrmsecure.dfg.ca.gov/FileHandler.ashx?DocumentID=153280,CDFW document library,,,,,,,,,,,,,,,
klamath,escapement,hatchery,,iron gate hatchery,Iron Gate Hatchery - 2016 annual report,2016,CDFW,,https://nrmsecure.dfg.ca.gov/FileHandler.ashx?DocumentID=174874,CDFW document library,,,,,,,,,,,,,,,
klamath,escapement,hatchery,,iron gate hatchery,Iron Gate Hatchery - 2017 annual report,2017,CDFW,,https://nrmsecure.dfg.ca.gov/FileHandler.ashx?DocumentID=174876,CDFW document library,,,,,,,,,,,,,,,
klamath,escapement,hatchery,,iron gate hatchery,Iron Gate Hatchery - 2018 annual report,2018,CDFW,,https://nrmsecure.dfg.ca.gov/FileHandler.ashx?DocumentID=174877,CDFW document library,,,,,,,,,,,,,,,
klamath,hatchery,Hatcheryrec,All Salmon,iron gate hatchery,Iron Gate Hatchery - 2002 annual report,2006,CDFW,,,,,,Iron Gate Hatchery (Klamath River) salmon recovery,"Richey, J.",,,,,,,,,,,
klamath,hatchery,Hatcheryrec,All Salmon,iron gate hatchery,Iron Gate Hatchery - 2003 annual report,2007,CDFW,,,,,,Iron Gate Hatchery (Klamath River) salmon recovery,"Richey, J.",,,,,,,,,,,
klamath,hatchery,Hatcheryrec,All Salmon,iron gate hatchery,Iron Gate Hatchery - 2004 annual report,2005,CDFW,,,,,,Iron Gate Hatchery (Klamath River) salmon recovery,"Hampton, M.",,,,,,,,,,,
klamath,hatchery,Hatcheryrec,All Salmon,iron gate hatchery,Iron Gate Hatchery - 2005 annual report,2006,CDFW,,,,,,Iron Gate Hatchery (Klamath River) salmon recovery,"Richey, J.",,,,,,,,,,,
klamath,hatchery,Hatcheryrec,Fall Chinook,iron gate hatchery,Iron Gate Hatchery - 2006 annual report: Recovery of Fall-run Chinook and coho salmon at Iron Gate Hatchery,2007,CDFW,,,,,,Iron Gate Hatchery (Klamath River) salmon recovery,"Chesney, D.",,,,,,,,,,,
klamath,hatchery,Hatcheryrec,All Salmon,iron gate hatchery,Iron Gate Hatchery - 2007 annual report,2008,CDFW,,,,,,Iron Gate Hatchery (Klamath River) salmon recovery,"Chesney, D.",,,,,,,,,,,
