subbasin,data_type,data_collection_type,species,location,description,timeframe,source,where_learned_about,references,notes,machine_readable,pdf_title,subject,author,,,,,,,,,,,
salmon,escapement,Snorkle,All Salmon,,"Salmon River Spring Chinook and Summer Steelhead Dives 2007, 7/25/2007",2007,CDFW,,,,,,Salmon River Spring Chinook and Summer Steelhead Dives,Anonymous,,,,,,,,,,,
salmon,escapement,Snorkle,All Salmon,,Salmon River Spring Chinook and Summer Steelhead Dives 2009,2009,CDFW,,,,,,Salmon River Spring Chinook and Summer Steelhead Dives,Anonymous,,,,,,,,,,,
salmon,escapement,Snorkle,All Salmon,,Salmon River Spring Chinook and Summer Steelhead Dives 2010,2010,CDFW,,,,,,Salmon River Spring Chinook and Summer Steelhead Dives,Anonymous,,,,,,,,,,,
salmon,escapement,Snorkle,ALL,,Salmon River Spring Chinook and Summer Steelhead Dives 2010 8/10 and 8/11 2010,2010,OTHER,,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd537590.pdf,coho salmon klamath monitoring data,,,,,,,,,,,,,,,
salmon,escapement,Snorkle,All Salmon,,Salmon River Spring Chinook and Summer Steelhead Dives 2011,2011,CDFW,,,,,,Salmon River Spring Chinook and Summer Steelhead Dives,Anonymous,,,,,,,,,,,
salmon,escapement,Snorkle,All Salmon,,Salmon River Spring Chinook and Summer Steelhead Dives 2012,2012,CDFW,,,,,,Salmon River Spring Chinook and Summer Steelhead Dives,Anonymous,,,,,,,,,,,
salmon,escapement,Snorkle,All Salmon,,Salmon River Spring Chinook and Summer Steelhead Dives 2013,2013,CDFW,,,,,,Salmon River Spring Chinook and Summer Steelhead Dives,Anonymous,,,,,,,,,,,
scott,escapement,Snorkle,All Salmon,,2018 Scott River Salmon Studies - Final Report,2018,CDFW,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=174880,Annual Report,,2018_Scott 2018 Final Annual Report,"Salmon run monitoring on Scott River (Klamath Basin), CA",Morgan Knechtle and Domenic Giudice,,,,,,,,,,,
scott,escapement,Snorkle,All Salmon,,Scott River salmon studies - 2009 final report,2009,CDFW,,,,,,"Salmon run monitoring on Scott River (Klamath Basin), CA","Knechtle, M. and D. Chesney",,,,,,,,,,,
scott,escapement,Snorkle,All Salmon,,Scott River salmon studies - 2010 final report,2010,CDFW,,,,,,"Salmon run monitoring on Scott River (Klamath Basin), CA","Knechtle, M. and D. Chesney",,,,,,,,,,,
scott,escapement,Snorkle,All Salmon,,Scott River salmon studies - 2013 final report,2013,CDFW,,,,,,"Salmon run monitoring on Scott River (Klamath Basin), CA","Knechtle, M. and D. Chesney",,,,,,,,,,,
shasta,escapement,Snorkle,All Salmon,,"Shasta River Chinook and coho observations in 2009-2010, Siskiyou County, CA",2010,CDFW,,,,,,"Klamath Basin salmonid monitoring, Shasta River","Chesney, D. and M. Knechtle",,,,,,,,,,,
shasta,escapement,Snorkle,All Salmon,,"Shasta River Chinook and coho observations in 2011-2012, Siskiyou County, CA",2012,CDFW,,,,,,"Klamath Basin salmonid monitoring, Shasta River","Chesney, D. and M. Knechtle",,,,,,,,,,,
shasta,escapement,Snorkle,All Salmon,,"Shasta River Chinook and coho observations in 2012-2013, Siskiyou County, CA",2013,CDFW,,,,,,"Klamath Basin salmonid monitoring, Shasta River","Chesney, D. and M. Knechtle",,,,,,,,,,,
shasta,escapement,Snorkle,All Salmon,,"Shasta River Chinook and Coho Salmon observations in 2018, Siskiyou County, CA",2018,CDFW,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=174881,Annual Report,,2018_Shasta River 2018 Final annual report,"Klamath Basin salmonid monitoring, Shasta River",Domenic Giudice and Morgan Knechtle,,,,,,,,,,,
shasta,escapement,Snorkle,All Salmon,,"Shasta River Fish Counting Facility, Chinook and coho salmon observations in 2002, Siskiyou County, CA",2002,CDFW,,,,,,"Klamath Basin salmonid monitoring, Shasta River","Hampton, M.",,,,,,,,,,,
shasta,escapement,Snorkle,All Salmon,,"Shasta River Fish Counting Facility, Chinook and coho salmon observations in 2003, Siskiyou County, CA",2003,CDFW,,,,,,"Klamath Basin salmonid monitoring, Shasta River","Hampton, M.",,,,,,,,,,,
shasta,escapement,Snorkle,All Salmon,,"Shasta River Fish Counting Facility, Chinook and coho salmon observations in 2004, Siskiyou County, CA",2004,CDFW,,,,,,"Klamath Basin salmonid monitoring, Shasta River","Hampton, M.",,,,,,,,,,,
shasta,escapement,Snorkle,All Salmon,,"Shasta River Fish Counting Facility, Chinook and coho salmon observations in 2005, Siskiyou County, CA",2005,CDFW,,,,,,"Klamath Basin salmonid monitoring, Shasta River","Hampton, M.",,,,,,,,,,,
shasta,escapement,Snorkle,All Salmon,,"Shasta River Fish Counting Facility, Chinook and coho salmon observations in 2006, Siskiyou County, CA",2006,CDFW,,,,,,"Klamath Basin salmonid monitoring, Shasta River","Walsh, B. and M. Hampton",,,,,,,,,,,
shasta,escapement,Snorkle,All Salmon,,"Shasta River Fish Counting Facility, Chinook and coho salmon observations in 2007-2008, Siskiyou County, CA",2008,CDFW,,,,,,"Klamath Basin salmonid monitoring, Shasta River","Chesney, D. and M. Knechtle",,,,,,,,,,,
shasta,escapement,Snorkle,All Salmon,,"Shasta River Fish Counting Facility, Chinook and coho salmon observations in 2008-2009, Siskiyou County, CA",2009,CDFW,,,,,,"Klamath Basin salmonid monitoring, Shasta River","Chesney, D.",,,,,,,,,,,
shasta,escapement,Snorkle,All Salmon,,"Shasta River Salmonid Monitoring 2017, Siskiyou County, CA",2018,CDFW,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=174882,Annual Report,,2017_Shasta River_final annual report,"Klamath Basin salmonid monitoring, Shasta River",D. Giudice and M. Knechtle,,,,,,,,,,,
shasta,escapement,Snorkle,All Salmon,,"Summary of Chinook and coho salmon observations in 2001, Shasta River fish counting facility, Siskiyou County, CA",2001,CDFW,,,,,,"Klamath River salmonid monitoring, Shasta River","Hampton, M.",,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,tributary,Trinity River Tributary Annual Summer Snorkel Survey 2009,2009,CDFW,,,,,,Trinity River Tributary Annual Summer Snorkel Survey,"Wiseman, E.",,,,,,,,,,,
trinity,escapement,Spawner,Steelhead,tributaries,2009 Trinity River tributaries steelhead spawning survey report,2009,CDFW,,,,,,Steelhead spawning and monitoring,"Hill, A.",,,,,,,,,,,
trinity,escapement,,All Salmon,,2006 Annual Report - Trinity River Basin Salmon and Steelhead Monitoring Project,2009,CDFW,,,,,,Trinity River salmonid monitoring,"Sinnen, W., P. Garrison, Knechtle, M. , A. Hill, J. Hileman and S. Borok",,,,,,,,,,,
trinity,escapement,,All Salmon,,"Ocean Abundance Projections and Prospective Harvest Levels for Klamath River Fall Chinook, 2010 season.",2010,CDFW,,,,,,"Klamath River fall Chinook ocean abundance, stock projection",Klamath River Technical Team,,,,,,,,,,,
trinity,habitat,,UTKR Chinook,,"Estimation of Rearing Habitat Area for Age-0 Chinook and Coho Salmon during Winter Base Flows within the Sawmill Rehabilitation Site of the Upper Trinity River, 2010",2010,USFWS,,https://www.fws.gov/sites/default/files/documents/Sawmill%20Report%20Final.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,juvenile monitoring,Screw trap,,,"Juvenile Salmonid Monitoring on the Mainstem Trinity River, California, 2010",2010,YUROK,,https://www.yuroktribe.org/_files/ugd/23c897_3e570544e02d4461837c0989fa220ebb.pdf,usfws trinity salmon population data,,,,,,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,south fork,2010 South Fork Trinity River Spring Chinook and Summer Steelhead Snorkel Survey Totals,2010,CDFW,,,,,,South Fork Trinity River Spring Chinook Summer Steelhead Snorkel Survey,"Hill, A.",,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,tributary,Trinity River Tributary Annual Summer Snorkel Survey 2010,2010,CDFW,,,,,,Trinity River Tributary Annual Summer Snorkel Survey,"Wiseman, E.",,,,,,,,,,,
trinity,escapement,Spawner,All Salmon,,2008-2009 Final Annual Report - Trinity River Basin Salmon and Steelhead Monitoring Project,2010,CDFW,,,,,,"Trinity River, CA salmonid monitoring","W. Sinnen, A. Hill, J. Hileman, S. Borok and M.C. Kier",,,,,,,,,,,
trinity,escapement,,All Salmon,,2007 Annual Report - Trinity River Basin Salmon and Steelhead Monitoring Project,2010,CDFW,,,,,,"Trinity River, CA salmonid monitoring","Sinnen, W., M. C. Kier, A. Hill, J. Hileman and S. Borok",,,,,,,,,,,
trinity,habitat,,UTKR Chinook,,Estimation Of Age-0 Chinook And Coho Salmon Rearing Habitat Area Within The Restoration Reach Of The Trinity River At An Index Streamflow-Annual Report 2011,2011,USFWS,,https://www.fws.gov/sites/default/files/documents/GRTSReportFinal.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,juvenile monitoring,Screw trap,All Salmon,,2010-11 Trinity River Trapping Summary Final DRAFT,2011,CDFW,,,,,,summary of trapping efforts of Trinity River salmonids,TRP staff,,,,,,,,,,,
trinity,juvenile monitoring,Screw trap,,,"Juvenile Salmonid Monitoring on the Mainstem Trinity River, California, 2011",2011,USFWS,,https://www.fws.gov/sites/default/files/documents/2011_Trinity_River_Outmigrant_Monitoring.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,south fork,2011 South Fork Trinity River Spring Chinook and Summer Steelhead Snorkel Survey Totals,2011,CDFW,,,,,,South Fork Trinity River Spring Chinook Summer Steelhead Snorkel Survey,"Hill, A.",,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,tributary,Trinity River Tributary Annual Summer Snorkel Survey 2011,2011,CDFW,,,,,,Trinity River Tributary Annual Summer Snorkel Survey,"Wiseman, E.",,,,,,,,,,,
trinity,escapement,Spawner,All Salmon,,2009-2010 Final Annual Report Trinity River basin salmon and steelhead monitoring project,2011,CDFW,,,,,,"Trinity River, CA salmon and steelhead monitoring","Sinnen, W., S. Borok, A. Hill, J. Hileman and M. C. Kier",,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,south fork,2012 South Fork Trinity River Spring Chinook and Summer Steelhead Snorkel Survey Totals,2012,CDFW,,,,,,South Fork Trinity River Spring Chinook Summer Steelhead Snorkel Survey,"Hill, A.",,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,north fork,North Fork Trinity River Summer Snorkel Surveys 2012,2012,CDFW,,,,,,North Fork Trinity River Summer Snorkel Surveys,"Wiseman, E.",,,,,,,,,,,
trinity,habitat,,UTKR Chinook,upper trinity,"Age 0 Chinook and Coho Salmon Rearing Habitat Assessment of Lowden Meadows, Reading Creek, and Trinity House Gulch Rehabilitation Sites 2009- 2011, Upper Trinity River",2013,USFWS,,https://www.fws.gov/sites/default/files/documents/2011%20Rearing%20Habitat%20Site%20Assessment.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,juvenile monitoring,Screw trap,,,"Juvenile Salmonid Monitoring on the Mainstem Trinity River, California, 2013",2013,USFWS,,https://www.fws.gov/sites/default/files/documents/2013_TR_Outmigrant_Monitoring.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,tributary,Trinity River Tributary Annual Summer Snorkel Survey 2013,2013,CDFW,,,,,,Trinity River Tributary Annual Summer Snorkel Survey,"Wiseman, E.",,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,tributary,Trinity River Tributary Annual Summer Snorkel Survey Anadromous Fish Counts,2013,CDFW,,,,,,Trinity River Tributary Annual Summer Snorkel Survey,"Wiseman, E",,,,,,,,,,,
trinity,escapement,Spawner,Steelhead,tributaries,2010 Trinity River tributaries steelhead spawning survey report,2013,CDFW,,,,,,Steelhead spawning survey and monitoring,Andrew M. Hill,,,,,,,,,,,
trinity,escapement,Spawner,All Salmon,,2010-2011 Final Annual Report Trinity River basin salmon and steelhead monitoring report,2013,CDFW,,,,,,"Trinity River, CA salmon and steelhead monitoring","Sinnen, W., S. Borok, J. Hileman, A. Hill, S. Cannata and M. C. Kier",,,,,,,,,,,
trinity,escapement,Spawner,All Salmon,,2011-12 Final Annual Report - Trinity River Basin Salmon and Steelhead Monitoring Project,2013,CDFW,,,,,,"Trinity River, CA salmon and steelhead monitoring","S. Borok, S. Cannata, J. Hileman, A. Hill and M.C. Kier",,,,,,,,,,,
trinity,habitat,,UTKR Chinook,,"Age-0 Chinook and Coho Salmon Rearing Habitat Assessment: Sawmill Rehabilitation Site, Three Years after Construction at Winter Base Flow, Upper Trinity River",2014,USFWS,,https://www.fws.gov/sites/default/files/documents/DeJuilioEtAl2014Sawmill_0.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,juvenile monitoring,Screw trap,,,"Juvenile Salmonid Monitoring on the Mainstem Trinity River, California, 2014",2014,USFWS,,https://www.fws.gov/sites/default/files/documents/2014_tr_outmigrant_monitoring.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,,2012-13 Final Annual Report - Trinity River Basin Salmon and Steelhead Monitoring Project,2014,CDFW,,,Salmon monitoring,,,"Trinity River, CA salmon and steelhead monitoring","Borok, S., S. Cannata, J. Hileman, A. Hill and M. C. Kier",,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,,2013-14 Final Annual Report - Trinity River Basin Salmon and Steelhead Monitoring Project,2014,CDFW,,,Salmon monitoring,,,"Trinity River, CA salmon and steelhead monitoring","Kier, M. C., J. Hileman and S. Cannata",,,,,,,,,,,
trinity,escapement,Spawner,chinook,mainstem,Trinity River mainstem redd survey update,2014,USFWS,,https://www.fws.gov/sites/default/files/documents/TrinityReddUpdate_2014_12_19.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,escapement,Spawner,Coho,mainstem,2008 Mainstem Klamath River Coho Spawning Survey,2008,USFWS,,https://www.fws.gov/sites/default/files/documents/2008%20Klamath%20coho%20redd%20report%20final.pdf,USFWS data library,,,,,,,,,,,,,,,
klamath,escapement,Spawner,All Salmon,bogus creek,Bogus Creek salmon studies 2010 - Final report,2011,CDFW,,,,,,"Results of salmon monitoring on Bogus Creek (Klamath Basin), CA","Knechtle, M. and D. Chesney",,,,,,,,,,,
klamath,escapement,Spawner,All Salmon,bogus creek,Bogus Creek salmon studies 2015 - Final report,2016,CDFW,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=174873,Salmon monitoring,,2015_Bogus Creek Salmon Studies 2015 Final Report,"Results of salmon monitoring on Bogus Creek (Klamath Basin), CA",Morgan Knechtle and Diana Chesney,,,,,,,,,,,
klamath,escapement,Spawner,All Salmon,bogus creek,Bogus Creek salmon studies 2016 - Final report,2016,CDFW,,,,,,"Results of salmon monitoring on Bogus Creek (Klamath Basin), CA",Morgan Knechtle and Diana Chesney,,,,,,,,,,,
klamath,escapement,Spawner,All Salmon,bogus creek,Bogus Creek salmon studies 2017 - Final report,2018,CDFW,,,,,,"Results of salmonid monitoring on Bogus Creek (Klamath Basin), CA",Morgan Knechtle and Domenic Giudice,,,,,,,,,,,
klamath,escapement,Spawner,UTKR Chinook,,"Klamath River Basin Fall Chinook Salmon Spawner Escapement, In-river Harvest and Run-size Estimates, 1978-2021",2022,CDFW,,https://nrmsecure.dfg.ca.gov/FileHandler.ashx?DocumentID=123560,CDFW document library,,,,,,,,,,,,,,,
klamath,escapement,Spawner,UTKR Chinook,,"Klamath River Basin Spring Chinook Salmon Spawner Escapement, River Harvest and Run-size Estimates 1980-2021",2022,CDFW,,https://nrmsecure.dfg.ca.gov/FileHandler.ashx?DocumentID=161145,CDFW document library,,,,,,,,,,,,,,,
lower klamath river,escapement,Spawner,All Salmon,mainstem,"Assessment of Anadromous Salmonid Spawning in Blue Creek Lower Klamath River, California, Fall 1999-2008",2009,CDFW,,,Spawning report,,,Assessment of Anadromous Salmonid Spawning in Blue Creek,"Gale, D.",,,,,,,,,,,
lower klamath river,escapement,Spawner,Steelhead,blue creek,"Assessment of Anadromous Salmonid Spawning in Blue Creek, Tributary to Lower Klamath River, During 2009",2009,CDFW,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=84306,Spawning report,,2009_Blue Creek Steelhead report,Assessment of Anadromous Salmonid Spawning in Blue Creek,"Antonetti, A.",,,,,,,,,,,
lower klamath river,escapement,Spawner,All Salmon,blue creek,"Assessment of Anadromous Salmonid Spawning in Blue Creek, Tributary to the Lower Klamath River, During 2011-2012",2012,Yurok,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=84327,Monitoring,,2011-12_Blue Creek Spawning,Assessment of Anadromous Salmonid Spawning in Blue Creek,"Antonetti, A. and E. Partee",,,,,,,,,,,
salmon,escapement,Spawner,UTKR Chinook,,2005 Fall Chinook Salmon Spawning Ground Survey,2005,OTHER,,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprd3833422.pdf,coho salmon klamath monitoring data,,,,,,,,,,,,,,,
scott,escapement,Spawner,All Salmon,,"Assessment of Anadromous Salmonid Spawning in Blue Creek, Tributary to the Lower Klamath River, During 2010",2013,CDFW,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=84325,,,2013_Scott River Coho spawning,Assessment of Anadromous Salmonid Spawning in Blue Creek,"Antonetti, A. and E. Partee",,,,,,,,,,,
scott,escapement,Spawner,All Salmon,,2017 Scott River Salmon Studies - Final Report,2017,CDFW,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=174878,Annual Report,,2016_Scott 2016 Report_Final,"Salmon run monitoring on Scott River (Klamath Basin), CA","Knechtle, M. and D. Chesney",,,,,,,,,,,
scott,escapement,Spawner,Coho,,Final Report Adult Coho Spawning Ground Surveys 2006-2007,2007,CDFW,,,,,,Scott River Adult Coho Spawning Grounds Surveys,"Quigley, D.",,,,,,,,,,,
scott,escapement,Spawner,Coho,,Final Report Scott River Adult Coho Spawning Ground Surveys November 2005-January 2006,2006,CDFW,,,,,,Scott River Adult Coho Spawning Grounds Surveys,"Quigley, D.",,,,,,,,,,,
scott,escapement,Spawner,Coho,,Scott River Adult Coho Spawning Ground Surveys 2011 Season,2012,CDFW,,,,,,Scott River Adult Coho Spawning Grounds Surveys,"Franklin, T.",,,,,,,,,,,
scott,escapement,Spawner,Coho,,Scott River Adult Coho Spawning Ground Surveys 2012-2013 Season,2013,CDFW,,,,,,Scott River Adult Coho Spawning Grounds Surveys,"Yorkel, D.",,,,,,,,,,,
scott,escapement,Spawner,Coho,,Scott River Adult Coho Spawning Grounds Surveys December 2009-January 2010,2010,CDFW,,,,,,Scott River Adult Coho Spawning Grounds Surveys,Anonymous,,,,,,,,,,,
scott,escapement,Spawner,Coho,,Scott River Adult Coho Spawning Grounds Surveys December 2010-January 2011,2011,CDFW,,,,,,Scott River Adult Coho Spawning Grounds Surveys,"Yokel, D.",,,,,,,,,,,
scott,escapement,Spawner,Coho,,Scott River Adult Coho Survey Table VI. Redds by Survey Year 2001-2008,2009,CDFW,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=84328,Redd surveys,,2008_Scott River REDD survey,Scott River Adult Coho Spawning Grounds Survey,"Yorkel, D.",,,,,,,,,,,
scott,escapement,Spawner,All Salmon,,Scott River salmon studies - 2008,2008,CDFW,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=77837,,,,"Salmon run monitoring on Scott River (Klamath Basin), CA","Knechtle, M.",,,,,,,,,,,
scott,escapement,Spawner,All Salmon,,Scott River salmon studies - 2012,2012,CDFW,,,PDF in file,,,"Salmon run monitoring on Scott River (Klamath Basin), CA","Knechtle, M.",,,,,,,,,,,
shasta,escapement,Spawner,All Salmon,,"Shasta River Chinook and coho observations in 2010-2011, Siskiyou County, CA",2011,CDFW,,,,,,"Klamath Basin salmonid monitoring, Shasta River","Chesney, D. and M. Knechtle",,,,,,,,,,,
shasta,escapement,Spawner,All Salmon,,"Shasta River Chinook and Coho Salmon observations in 2016, Siskiyou County, CA",2016,CDFW,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=153279,Salmon monitoring,,2016_Shasta River 2016 final annual report,"Klamath Basin salmonid monitoring, Shasta River","Chesney, D. and M. Knechtle",,,,,,,,,,,
trinity,escapement,"tag, CWT","coho, chinook, steelhead",,TRINITY RIVER BASIN SALMON AND STEELHEAD MONITORING PROJECT: CHINOOK AND COHO SALMON AND FALL-RUN STEELHEAD RUN-SIZE ESTIMATES USING MARK-RECAPTURE METHODS 2012-2013 SEASON,2014,CDFW,,https://nrmsecure.dfg.ca.gov/FileHandler.ashx?DocumentID=102647,CDFW document library,,,,,,,,,,,,,,,
trinity,escapement,"tag, CWT","coho, chinook, steelhead",,TRINITY RIVER BASIN SALMON AND STEELHEAD MONITORING PROJECT: CHINOOK AND COHO SALMON AND FALL-RUN STEELHEAD RUN-SIZE ESTIMATES USING MARK-RECAPTURE METHODS 2013-2014 SEASON,2014,CDFW,,https://nrmsecure.dfg.ca.gov/FileHandler.ashx?DocumentID=102646,CDFW document library,,,,,,,,,,,,,,,
trinity,habitat,,UTKR Chinook,,"Trend Analysis of Salmon Rearing Habitat Restoration in the Trinity River at Summer Base Streamflow, 2005-2015",2015,USFWS,,https://www.fws.gov/sites/default/files/documents/TrendAnalysisofSalmonRearingHabitatRestorationintheTrinityRiveratSummerBaseStreamflow%2C2005-2015.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,juvenile monitoring,Screw trap,,,"Juvenile Salmonid Monitoring on the Mainstem Trinity River, California, 2015",2015,USFWS,,https://www.fws.gov/sites/default/files/documents/2015_tr_outmigrant_monitoring.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,escapement,snorkel,CCC Steelhead,tributary,"Trinity River Tributary Summer Steelhead and Spring Chinook Snorkel Surveys 1990-2014: Canyon Creek, North Fork Trinity River, South Fork Trinity River, and New River",2015,CDFW,,https://nrmsecure.dfg.ca.gov/FileHandler.ashx?DocumentID=137218,CDFW document library,,,,,,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,,2014-15 ANNUAL REPORT - TRINITY RIVER BASIN SALMON AND STEELHEAD MONITORING PROJECT: CHINOOK AND COHO SALMON AND FALL-RUN STEELHEAD RUN-SIZE ESTIMATES USING MARK-RECAPTURE METHODS 2014-15 SEASON,2015,CDFW,,,Salmon monitoring,,,"Trinity River, CA salmon and steelhead monitoring","Kier, M. C., S. Cannata and J. Hileman",,,,,,,,,,,
trinity,escapement,Spawner,chinook,mainstem,Trinity River mainstem redd survey update,2015,USFWS,,https://www.fws.gov/sites/default/files/documents/TrinityReddUpdate_2015_12_18.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,escapement,"tag, CWT","coho, chinook, steelhead",,TRINITY RIVER BASIN SALMON AND STEELHEAD MONITORING PROJECT: CHINOOK AND COHO SALMON AND FALL-RUN STEELHEAD RUN-SIZE ESTIMATES USING MARK-RECAPTURE METHODS 2014-2015 SEASON,2015,CDFW,,https://nrmsecure.dfg.ca.gov/FileHandler.ashx?DocumentID=124554,CDFW document library,,,,,,,,,,,,,,,
trinity,water temperature,,All Salmon,,South Fork Trinity River 2015 Summer Temperature Report,2016,CDFW,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=174879,Temperature,,2015_South Fork Trinity River Summer Temperature Profile (1),South Fork Trinity River summer temperature,Andrew M. Hill,,,,,,,,,,,
trinity,juvenile monitoring,Screw trap,,,"Juvenile Salmonid Monitoring on the Mainstem Trinity River, California, 2016",2016,USFWS,,https://www.fws.gov/sites/default/files/documents/2016_TR_outmigrant_monitoring.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,,2015-16 ANNUAL REPORT - TRINITY RIVER BASIN SALMON AND STEELHEAD MONITORING PROJECT: CHINOOK AND COHO SALMON AND FALL-RUN STEELHEAD RUN-SIZE ESTIMATES USING MARK-RECAPTURE METHODS,2016,CDFW,,,Salmon monitoring,,,"Trinity River, CA salmon and steelhead monitoring","Kier, M. C. and J. Hileman",,,,,,,,,,,
trinity,escapement,Spawner,chinook,mainstem,Trinity River mainstem redd survey update,2016,USFWS,,https://www.fws.gov/sites/default/files/documents/TrinityReddUpdate_2016_12_16.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,escapement,"tag, CWT","coho, chinook, steelhead",,TRINITY RIVER BASIN SALMON AND STEELHEAD MONITORING PROJECT: CHINOOK AND COHO SALMON AND FALL-RUN STEELHEAD RUN-SIZE ESTIMATES USING MARK-RECAPTURE METHODS 2015-16 SEASON,2016,CDFW,,https://nrmsecure.dfg.ca.gov/FileHandler.ashx?DocumentID=137219,CDFW document library,,,,,,,,,,,,,,,
trinity,escapement,Snorkle,All Salmon,,2016-17 ANNUAL REPORT - TRINITY RIVER BASIN SALMON AND STEELHEAD MONITORING PROJECT: CHINOOK AND COHO SALMON AND FALL-RUN STEELHEAD RUN-SIZE ESTIMATES USING MARK-RECAPTURE METHODS,2017,CDFW,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=151015,Salmon monitoring,,Kier et al. 2017_Trinity River basin salmon and steelhead monitoring 2016-2017 Final Annual,"Trinity River, CA salmon and steelhead monitoring","Kier, M. C., J. Hileman and K. Lindke",,,,,,,,,,,
trinity,escapement,Spawner,UTKR Chinook,mainstem,Mainstem Trinity River Chinook Salmon Spawning Distribution 2012–2014,2017,USFWS,,https://www.fws.gov/sites/default/files/documents/Mainstem%20Trinity%20River%20Chinook%20Salmon%20Spawning%20Distribution%202012%20to%202014.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,escapement,Spawner,UTKR Chinook,mainstem,Mainstem Trinity River Chinook Salmon Spawning Survey,2017,USFWS,,https://www.fws.gov/sites/default/files/documents/2017%20SpawningSurveyReport_FINAL.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,escapement,Spawner,UTKR Chinook,mainstem,Mainstem Trinity River Chinook Salmon Spawning Survey,2017,USFWS,,https://www.fws.gov/sites/default/files/documents/2015_2016%20SpawningSurveyReport__Final_12_31_2017.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,escapement,"tag, CWT","coho, chinook, steelhead",,TRINITY RIVER BASIN SALMON AND STEELHEAD MONITORING PROJECT: CHINOOK AND COHO SALMON AND FALL-RUN STEELHEAD RUN-SIZE ESTIMATES USING MARK-RECAPTURE METHODS 2016-17 SEASON,2017,CDFW,,https://nrmsecure.dfg.ca.gov/FileHandler.ashx?DocumentID=151015,CDFW document library,,,,,,,,,,,,,,,
trinity,habitat,,UTKR Chinook,,Assessment of Chinook Salmon Smolt Habitat Use in the lower Trinity River,2018,USFWS,,https://www.fws.gov/sites/default/files/documents/Assessment%20of%20Chinook%20Salmon%20smolt%20habitat%20use%20TrinityRiver%20FINAL.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,escapement,Mark Recapture,All Salmon,,2017-18 ANNUAL REPORT - TRINITY RIVER BASIN SALMON AND STEELHEAD MONITORING PROJECT: CHINOOK AND COHO SALMON AND FALL-RUN STEELHEAD RUN-SIZE ESTIMATES USING MARK-RECAPTURE METHODS,2018,CDFW,,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=174531,Salmon monitoring,,2017-18_kier et al. Trinity River basin salmon and steelhead monitoring 2017-2018 Final annual report,Trinity River CA salmon and steelhead monitoring,"Kier, M. C., J. Hileman and K. Lindke",,,,,,,,,,,
trinity,escapement,Spawner,UTKR Chinook,mainstem,Mainstem Trinity River Chinook Salmon Spawning Survey,2018,USFWS,,https://www.fws.gov/sites/default/files/documents/2018%20Trinity%20Spawning%20Survey%20Report%20Final.pdf,USFWS data library,,,,,,,,,,,,,,,
trinity,escapement,Spawner,chinook,mainstem,Trinity River mainstem redd survey update,2018,USFWS,,https://www.fws.gov/sites/default/files/documents/TrinityReddUpdate_2018_12_14.pdf,USFWS data library,,,,,,,,,,,,,,,
