subbasin,data_type,species,source,start,end,n_years,species_group
Trinity,Escapement,All Salmon,CDFW,2022,2022,1,All Salmonids
Trinity,Escapement,All Salmon,CDFW,2020,2020,1,All Salmonids
Lower Klamath,Fish Population Estimates,CCC Steelhead,CDFW,2014,2014,1,Steelhead
Scott,Water Quality,NA,OTHER,NA,NA,NA,NA
Shasta,Water Quality,NA,OTHER,1991,2012,21,NA
Lower Klamath,Juvenile Monitoring,Coho,OTHER,2012,2012,1,Coho
Lower Klamath,Juvenile Monitoring,Coho,YUROK,2008,2008,1,Coho
Lower Klamath,Juvenile Monitoring,Coho,YUROK,2009,2009,1,Coho
Lower Klamath,Escapement,Coho,USFWS,2006,2006,1,Coho
Lower Klamath,Escapement,chinook,OTHER,2013,2013,1,Chinook
Trinity,Escapement,UTKR Chinook,USFWS,2022,2022,1,Chinook
Lower Klamath,Fish Population Estimates,UTKR Chinook,USGS,2019,2019,1,Chinook
Lower Klamath,Fish Population Estimates,UTKR Chinook,OTHER,2019,2019,1,Chinook
Lower Klamath,Juvenile Monitoring,NA,USFWS,2021,2021,1,NA
Lower Klamath,Juvenile Monitoring,UTKR Chinook,USFWS,2022,2022,1,Chinook
Lower Klamath,Juvenile Monitoring,NA,USFWS,2007,2007,1,NA
Lower Klamath,Juvenile Monitoring,NA,USFWS,2008,2008,1,NA
Lower Klamath,Juvenile Monitoring,NA,USFWS,2009,2009,1,NA
Lower Klamath,Juvenile Monitoring,NA,USFWS,2010,2010,1,NA
Lower Klamath,Juvenile Monitoring,NA,USFWS,2011,2011,1,NA
Lower Klamath,Juvenile Monitoring,NA,USFWS,2012,2012,1,NA
Lower Klamath,Juvenile Monitoring,NA,USFWS,2013,2013,1,NA
Lower Klamath,Juvenile Monitoring,NA,USFWS,2015,2015,1,NA
Lower Klamath,Juvenile Monitoring,NA,USFWS,2016,2016,1,NA
Lower Klamath,Juvenile Monitoring,NA,USFWS,2018,2018,1,NA
Lower Klamath,Juvenile Monitoring,NA,USFWS,2019,2019,1,NA
Lower Klamath,Juvenile Monitoring,NA,USFWS,2020,2020,1,NA
Lower Klamath,Juvenile Monitoring,Coho,USFWS,2022,2022,1,Coho
Lower Klamath,Juvenile Monitoring,ALL,USFWS,2021,2021,1,All Salmonids
Lower Klamath,Juvenile Monitoring,NA,USFWS,2014,2014,1,NA
Trinity,Escapement,All Salmon,CDFW,2009,2009,1,All Salmonids
